userName,score,at,content
Pengguna Google,5,2024-01-07 14:57:20,Bagus tapi q belum bisa pake tik tok shop wkwk padahal pengen banget jualan kayak yang lain
Pengguna Google,5,2023-12-25 16:03:13,Selama ini tiktok bagus.cuma sayang.saya lagi berada di negri orang.yang gk semua hp bisa muncul tiktokshop nya.jd belum bisa menjalankan bisnis di tiktokshop
Pengguna Google,4,2023-12-12 22:37:04,Sediakan lagi voucher belanja min.200.000rb diskon ongkir 90.000rb dong
Pengguna Google,5,2023-12-12 08:32:44,Kenapa tiktok qu keranjang kuning nya gak ada
Pengguna Google,1,2023-10-04 12:28:46,Kecewa banget knp tiktok shop di hapuss😭😭
Pengguna Google,2,2023-10-04 11:47:44,Kecewa berat kenapa Tik tok shop di hapus Sumpah kecewa anjir
Pengguna Google,5,2023-09-21 00:06:23,"Banyak membantu shop online nya, walau sy di Saudi 🇸🇦 bisa belanja Keperluan yg sy inginkan dan untuk harga ny murah², terimakasih tiktok"
Pengguna Google,1,2023-09-04 04:07:19,gak bisa masuk\daftar. code perifikasi tidak bisa dapat berkali2
Pengguna Google,3,2023-08-10 14:15:07,BAVSVTA Ro AR EG CODIA
Pengguna Google,3,2023-07-18 18:46:52,Ko tiktok aku gda tiktok shop ny
Pengguna Google,5,2023-06-17 13:08:01,Banyak memberi ilmu dan manfaat bg kehidupan sehari2 Shop online jg murah2
Pengguna Google,4,2023-05-27 23:53:20,Apaan ini kok sekarang gak ada shop nya
Pengguna Google,2,2023-03-14 11:02:30,Sekarang xo gak ada tiktok shop
Pengguna Google,5,2023-02-03 12:50:03,Saya suka dengan tiktok shop nya
Pengguna Google,3,2023-01-31 05:03:24,Sayangnya saya tidak bisa belanja di tiktok shop
Pengguna Google,1,2023-01-22 08:13:51,Kenapa jadi dak ada buat belanja😞
Pengguna Google,5,2023-01-22 06:34:25,Gmn cara shopping di tiktok woy
Pengguna Google,1,2022-12-22 06:00:02,Aplikasi ini mengarah ke bisnis akan tetapi sering membekukan produk jualan dengan alasan yg tidak logis padahal sudah ada riwayat penjualan. Ini merugikan seller. Saya janji mau beri bintang 5 asal produk saya yg dibekukan kembali normal.
Pengguna Google,1,2022-12-16 10:26:37,Pesannya gk ke kirim2 ke seller
Pengguna Google,4,2022-12-05 05:09:20,Mohon muncul kan fitur Shopnia
Pengguna Google,5,2022-11-24 03:19:03,Shopee Xpress
Pengguna Google,1,2022-10-07 08:56:36,Bagaimana menampilkan keranjang kuning.? Nanti klo sudah ada keranjang kuning saya kasih bintang 5
Pengguna Google,3,2022-09-29 13:11:39,"Tolong kasih di fitur live stremingnya diberi pilihan grafik FHD HD SD, jadi ga burik burik di hp panjang2 jaman sekarang. Apalagi ini live rata2 pada jualan. Jd nontonnya lihat barang jd bagus"
Pengguna Google,4,2022-08-17 02:26:25,Saya suka banget sama tiktok tapi tolong lah ditambahin filter yg bisa bikin HD sama di tambah keranjang kuning nya soalnya saya suka berbelanja
Pengguna Google,1,2022-07-15 14:48:10,Mls donlod ya karena gak punya paket
Pengguna Google,1,2022-07-02 02:42:58,Terus di-update ini malah paketku temakan walaupun paket ku sedikit namun update nya otomatis hi kesal
Pengguna Google,1,2022-06-14 00:58:46,Tik tok kok gitu sekarang mau cari barang biasanya langsung ada konten sekarang kok malah nama orang yg tampil payah😤
Pengguna Google,1,2022-04-10 14:49:53,Kenapa sya tidak bisa download check out tiktok shop nya selalu muncul percobaan terlalu banyak kenapa yah? Tolong dong diperbaiki yahh Nanti kalau udah bisa aku kasik bintang 5
Pengguna Google,5,2022-04-02 07:44:53,Suka bgt bisa belanja dg gratis ongkir. .
Pengguna Google,5,2022-03-20 08:50:49,Tiktok sangat bagus buat membantu toko online saya.. Suksess selalu yaa..
Pengguna Google,4,2022-03-16 17:10:14,sangat bagus karna bisa belanja dan ongkirnya sangat murah
Pengguna Google,1,2022-02-11 10:37:55,"Komen gua Lo hapus ku buatagi dong.. TIKTOK KURANG AJAR. NGIRIM PKET GAK GUNA KERUMAH NOMINAL 100RB. BALIKIN DUIT DUA.... JANGAN PADA DOWNLOAD APK INI... NANTI MALAH KALIAN YG KENA KIRIM PAKET GAK GUNA,,,, MAU GAK DIBAYAR KASIAN KURIRNYA..... KALO KALIAN KENA KAYAK GINI, YANG NRIMA ORTU KALIAN BUKAN KALIAN PRIBADI MESTI BAKALAN DIBAYAR ORTU KALIAN.... KASIAN MEREKA"
Pengguna Google,5,2022-01-14 14:01:15,"tiktok makin bagus, kalau bisa banyak-banyak gratis ongkir ya"
Pengguna Google,5,2022-01-10 15:28:11,Aplikasi yg bermanfaat. Terus pertahankan. Dan sering2 kasih voucher free ongkir utk tiktok shop. Biar makin laris dagangan saya🙏
Pengguna Google,2,2021-10-20 09:06:39,Mau download tapi gak punya wifi gak hemat paket boros ruang penyimpanan
Pengguna Google,1,2021-07-30 01:58:55,Paket cepat habis😭
Pengguna Google,1,2021-06-20 14:43:35,Tik tok napa akun aku ko blokir Cook opo slah kuu Asu bongen ae tiktok pabrikmu Ngunduh iki yo gae paketan ora karo godong gedang Krungu pora Sitok ae bintange ra ti bintang ra muncol posting cook
Pengguna Google,1,2021-06-18 12:04:03,tampilan tiktok saya kok tidak ada referal code..???
Pengguna Google,5,2021-04-18 05:16:38,Tambah kan durasi video +80secod
Pengguna Google,5,2021-01-05 02:53:05,Wow tikitoko
Pengguna Google,5,2020-08-11 09:14:11,TIKI TOKO NOROKO
Pengguna Google,4,2020-07-21 07:50:22,"Saya tidak bisa download tik tok, Karena paket data saya habis, Ku kasih bintang 4 deh, semoga paket data saya di isi oleh play store"
Pengguna Google,2,2020-05-01 12:29:34,"Ko di donwload lama kali ini,bikin habis paketan"
Pengguna Google,2,2020-03-18 07:44:44,Saya memberi bintang dua kerena banyak paket untuk dowlad
Pengguna Google,1,2020-03-06 06:50:24,tiktok tidak menyerukan karena cepat habis paket lebih baik dowlod likee lama habis paket
Pengguna Google,3,2019-10-07 02:10:42,"saya kasih bintang 3 aja,,,barang kali tik tok nya eror,,tiktok terkadang ada gangguan,klo tiktok nya lancar gx ada gangguan nanti saya kasih bintang lebih dri 5 hiiii😁"
Pengguna Google,1,2019-09-02 22:31:31,Susah Donlodnya aku udh donlod tetep susah tolong di perbaiki dasar permainan jelek habisin paketan Aja tolong di perbaiki
Pengguna Google,1,2018-08-27 05:48:43,Elek kali lah ga jelas ewh tik tok semua isinya...bacod m ales kali lah smpah TIK TOK ANAK MICIN!!!
Pengguna Google,5,2018-08-01 07:35:18,"Aku sangat suka karena ini ngga pakek paketan salam kenal namaku Geiovany 
Sheila Ramadhani aku biasa di panggil Sheila"
Pengguna Google,5,2018-07-28 05:36:32,Seneng bisa gk pake paketan musiccaly nya
Pengguna Google,5,2018-07-25 04:17:03,"Aku suka sekali kan waktu itu paket ku habis ternyata masih bisa di mainkan 
loh"
Pengguna Google,1,2018-07-23 12:58:46,"Paketan gw di kuras taek ke 600 mb jink padahal gw blm buka baru download 
doang kemaren. Aplikasi nguras kouta"
Pengguna Google,5,2018-07-22 00:07:51,"Udh kaya tiktok aja nih....kayanya fotokopi ya jadi samaan kaya tiktok. .. 
.....caranya masuknya pake Email aja singkat"
Pengguna Google,5,2018-07-15 07:16:34,Seru banget sampe aku habisin paket aku
Pengguna Google,1,2018-07-11 16:54:18,"Mudah mudahan musical.ly di blokir Karena dwnloadnya lama anjing paket gw 
udh abis dri 5 GB"
Pengguna Google,3,2018-07-10 04:53:08,Ini nguras banyak paketan ngak
Pengguna Google,1,2018-07-08 09:01:58,"Bnyak makan kuota atau paketan.. Sampe paket gw abis gara gara bikin ini . 
Aplikasi jelek!"
Pengguna Google,5,2018-07-06 07:14:57,Bisa kah tampa paket data?
Pengguna Google,1,2018-07-05 06:05:29,"Aplikasi musically sekarang malah kayak tiktok,kalo di prvt masi pake 
paketan,balekni cak koyok sg ndek kae !!"
Pengguna Google,4,2018-07-03 15:15:18,"Soon anak micin yang dulunya sembarangan maen tiktok akan pindah ke 
musikeli 😑"
Pengguna Google,5,2018-07-03 07:28:11,"Saya nyesel bgt deh udh dowload tik tok,,buat paket abis"
Pengguna Google,3,2018-06-30 08:38:38,"Tolong yh aku lebih suka MC yg dlu dari pada sekarang jadi tolong udh lg 
,MB nya jga gede jadi kalo yg pake paket data akan cepat tolong turunin MB 
nya"
Pengguna Google,5,2018-06-29 05:37:49,"Aku pakai musically paket aku gah habis habis kalo aku pakai paket aku 
pasti habis jangan donwold tik tok ya nanti kamu nyesal lo meningan donwold 
musically👍👍"
Pengguna Google,2,2018-06-25 12:25:30,"Kok sekarang musicaly nya pake paket sih bisanya privat g usah pake paket 
bisa,,ini harus"
Pengguna Google,1,2018-06-25 03:55:19,"Masa pas mau msuk MC tulisannya gagal memuat mulu padahal paketan aku ga 
abis sm lg ga lemot Please benerin dong..!!!"
Pengguna Google,1,2018-06-21 10:43:16,Jangan terlalu memakan paket
Pengguna Google,1,2018-06-19 04:57:45,"Akulun enggak tau paketku enggak adh benci kali aku loh ahhh kekmana mau 
downloadd akupun enggak pande cara yang dua dua muk ituvhuuh yang 
miskunanlah aku"
Pengguna Google,1,2018-06-18 06:50:22,"G suka musically yg skrg,jdi tolong admin yg buat musically,balikin 
musically ky dulu jgn skrg g suka. sering ngelag, lgan musically sm tik tok 
tuh beda, penggunaan nya ga sembarang, punya trans,klo tik tok kan engga, 
jdi balikin musically yg dulu biar ank bangsa kembali berkarya."
Pengguna Google,3,2018-06-14 04:29:50,Saya ga suka  Saya da hapus aplikasi saya yg lebih banyak mb nya tapi ko ga bisa saya  unduh lagi tapi ga bisa saya apus satu lagi juga ga bisa yg mb nya lebih banyak saya hapu yg 3 baru bisa saya ga suka kalo kaya gitu da ngabisin paket dll
Pengguna Google,3,2018-06-13 05:06:07,"Aplikasinya tuh lumayan banget cuman buang buang paketan aja deh gk seru 
bnget"
Pengguna Google,1,2018-06-12 02:44:27,"He gara2 aplikasi ini paket saya habis,dasar kurangajar bh benci aku sm 
aplikasi iini"
Pengguna Google,2,2018-06-11 18:19:56,Lama Njerrr Lola Fak Buang²Paket!!
Pengguna Google,2,2018-06-09 11:49:48,"Kenapa setelah diperbaharui video privat hilang semua + memakai paketan + 
draf dibuka tidak bisa + jadi macet"
Pengguna Google,1,2018-06-09 03:15:28,"Kok aku nggak bisa login sih? Ihh rugi deh aku download. Kembaliin paketan 
akuuu"
Pengguna Google,5,2018-06-07 07:57:14,"Saya emang suka bikin Musical.ly kaya gitu makanya saya memberi bintang 5. 
Tetapi sayangnya versi baru saat ini saya tidak suka dengan model nya, 
kenapa seperti tiktok. Tiktok yaa tiktok & Musical.ly yaa Musical.ly kenapa 
Musical.ly harus plagiat. Kenapa video private nya juga tidak bisa di buka 
jika tidak punya paketan, Musical.ly dulu bisa dan bagus. Sekarang ga bagus 
lah. Aneh jadinya kaya tiktok, seandainya tuh Musical.ly model nya kaya 
dulu aja udah bagus kok dari pada yang sekarang jijik ih. Mohon banget kalo 
semisalnya tuh Musical.ly ga usah plagiat tiktok. Musical.ly saat ini model 
nya jelek lah. Jadinya ga suka. Tolong lah kembalikan ke model yang dulu."
Pengguna Google,1,2018-06-04 04:35:25,"Musically sekarang udh ngk bagus, paketan saya yang 11 gb langsung habis 
sejam gara2 nih apk, udh benci sama aplikasi ini lagi, pokoknya ganti 
paketan saya."
Pengguna Google,1,2018-06-01 22:14:17,"Lambat bgt smpah kukira sinyalku ternyata emng sekarang lemot aplikasinya. 
Aku coba buat bka ig, tiktok, shoppe yg mnuku mk byk sinyal bs kebuka kok 
musically lm bgt playingnya. Tolong buat diprbaharui programy biar gak 
lemot lg. Saya dah 3th pakai aplkasi ini dan ini bru perbaharui aplikasi 
krna lih orang"" program baru. Jangan lemot lagi pkoknya maunya"
Pengguna Google,4,2018-06-01 08:08:08,Tapi boleh gak pake paketat aku takut abis paket tan nya
Pengguna Google,1,2018-05-29 14:04:12,"Kenaapaaaa musically gak bisa ngepost padahal paketan Bru beli ....ada 
tulisan kesalahan jaringan,tidak bisa mengotorisasi....please perbaiki"
Pengguna Google,1,2018-05-28 02:19:26,"Tolong jangan kaya gitu donk susah tau nyimpen draf nya terus saya sebelum 
saya update buat video masih bisa gx pake paketan lah sekarang harus pakai 
paketan"
Pengguna Google,3,2018-05-27 08:54:21,Min saya kecewa mntng hape android kasi efek kamera sembarangan ngajak bcd
Pengguna Google,2,2018-05-25 10:01:30,Ini suka habisin paket gk
Pengguna Google,1,2018-05-24 08:24:40,"Ikhhh kok lambat ya ngga kaya dulu sekarang malah kaaya tik tok ihhhh 
balikin akun gue yang dulu anjing Cape buat vidio nya dasar aplikasi anjing 
Jangan didownload percuma ngabisin paket internet kalian klo nggg percaaya 
silahkan didownload malah bakalan nyesel Aplikasi anjing bagusna like 
Wuuuuuuu aplikasi anjing 
💩🙈🙉🙈🙊🙉💩🙈💩🙈🙊🙉🙉🙊🙈💩🙈💩🙉🙊🙉💩🙉💩🙈💩👎👎👎"
Pengguna Google,3,2018-05-22 09:08:43,Ko nyedot paketannya banyak dikitin dong
Pengguna Google,5,2018-05-21 04:14:49,jangan di donloawd kalau gak punya paketan
Pengguna Google,1,2018-05-19 08:24:08,"Tolong dong MC nya jgn kyk tiktok gini, gk mau kan di cap sebagai plagiat 
nya tiktok, balik dong MC nya jgn kyk gini MC skrg gk bisa ngezoom, msak MC 
nya di draf bkn di privat, macet lagi, gk bisa slwomo, intinya nyesel kali 
la di perbaruin, kirain makin baguss eh malah makin jlk gimana sii, udah 
balik aja y ke awal, awal buat MC dari 0 sampek skrg bisa kyk gini, aws lo 
gara""sama gini semua nya bisa beralih ke tiktok , nyeselll loooo udah 
laaaaaaaa ganti napa kayak MC yang dulu, dulu gk mesti di post dulu baru 
bisa di simpn, gk ada paket pun bisa buat MC bisa nympen lagi skrgg gk 
bisaaaaa, ribet kali y Allah, klok mau kreativ gk gini cara nyaa"
Pengguna Google,4,2018-05-17 03:26:14,"Bagus banget enakan ini dari pada tik tok harus pake paketan kalo ini gk 
ada paket juga bisa"
Pengguna Google,1,2018-05-13 07:13:40,"Om playstore balikin musical.ly yg lama dong :( aing gabisa buat trancc di 
mc yg skrg :( terus tu kaget pas buka mc ko malah samwa isinya sm kek tik 
tok :( pas cb buat trancc mau zoom eh gabisa ingin ku menangis :( udah gt 
kalo hbs buat pidio loding selsenya lama bat kzl tampilan layar itam malah 
srg buat hp ngelek juga . uda gt skrg harus posting gabisa privat gabisa 
oplen dalan dulu enak bisa open kalo gada paket lg gabut bs main pake pisik 
open skrg mah habisa hrs nyalain data cem tik tok huhu :( penonton kecewa 
atuh om playstore :( gamau tau y balikin persi lama g !"
Pengguna Google,1,2018-05-13 00:38:18,"Kenapa musicaly kya tiktok cobaa,,,,yg dulu nya bisa nge zoom,bisa download 
tanpa paketan,filtur nya kya persis tiktok banget,aku jujur gk suka sama 
tiktok,,,tapi knp pas di perbaruin jadi kya gini si,,,tong ubah lagi 
seperti dlu yk plisss aku mohon banget"
Pengguna Google,5,2018-05-12 06:03:31,"Bagus banget ...aku aja sampai ketagihan bikin video musicall.ly .tpi 
sayangnya cuma ngabisin paket aja"
Pengguna Google,2,2018-05-11 10:58:13,"Menurut gw sih udh bagus tpi tolong ya penggunaan paket nya di kurangi gw 
harap sih"
Pengguna Google,1,2018-05-10 22:20:23,"Pas gua mau masuk mc dan pengen bikin mc kok jdi keke tik tok ya trs gua 
keluar dri mc pengen ngecek itu mc apa tik tok sedangkan gua gk punya app 
tik tok, dan pas gua balik ke app mc trs gua liat yg di privatenya ilang 
semua disitu gua udh kecewa, dn gua bilang yaudanh lah gpp akhirnya gua 
pengen bikin mc dan pas gua pengen bikin filternya berlebihan ,gk bisa di 
zoom, offline gk bisa, pokoknya persis sama kayak tik tok dan disitu gua 
kehilangan mood buat main mc dan rasanya pengen di uninstall tapi sayang 
yaudah ah appnya gua simpen aja barangkali kek dulu lagi Ps: semoga bisa 
berubah kayak dulu lagi app karna bagusan mc dri pda tik tok dam banyak yg 
kecewa dengan gaya mc seperti ini jadilah diri sendirian"
Pengguna Google,1,2018-05-10 13:20:53,"Knp skrg mc jd kyk tik tok gk sukaaaa😭 mc skrg gk kyk dl padahal lbh bagus 
mc yg dl, sengaja gk pernah uninstal mc krn mc lbh bgs drpd tik tok mc dl 
bs di zoom gk kebanyakan filter bs di privat skrg krn adnya pembaruan, yg 
di privat jd ilang semua mc dl jg bs buat pas lg offline kl gk pny paketan 
trus pergi bosen lgsg main mc skrg gmnaaa ini😲. Maaf komentar dan kritik 
ini saya ucapkan krn sy tdk bs menerima mc yg sperti ini semoga komentar 
kami semuaaa para muser dpt dikabulkan. #kembalikan mcygdl!!!"
Pengguna Google,1,2018-05-10 08:29:01,"Musical.ly jelek banget dulu pas per1 download app ini bagus banget 
berkualitas lagi.. Sekarang udh kayak cacing di impus (ibarat kata)udh 
kayak tik tok jelek banget nyesal... Tapi kalo di hapus rugi aja,rugi apa 
RUGl-RUGl KAN PAKET Gantikan dong app ini yg kayak dulu lagi yaaaa"
Pengguna Google,1,2018-05-10 06:06:08,"Kenapa sekarang mc kayak tiktok???tau gak kalo tiktok itu gabisa kebuka 
kalo gak ada paket kalo musically dulu walaupun ga ada paket bisa kebukaa 
walaupun hanya privatnya aja!!tolong donk kembali in musically kaya duluke"
Pengguna Google,1,2018-05-09 10:47:26,"Musically plagiat tik tookkk, bikin vers lama donk_-elek mbeti je tekor 
mugur nggo download kiye mbarang saiki elek bgt!!!"
Pengguna Google,5,2018-05-08 07:17:24,"Saya suka banget aplikasi musical.ly......karena ini hemat paketan sama 
pulsa dan ini lebih bagus dari tik tok😊😃"
Pengguna Google,5,2018-05-06 05:52:37,Bagus!tpi klu mau lebih bagus lgi nyedot paket nya jangan bnyak bnyak ok!
Pengguna Google,4,2018-05-02 08:47:22,"Kayak apa cara edit nya? Masa iaa harus nginstal aplikasi baru kan penuh2 
memori terus hbis paket dong gak bisa menikmati"
Pengguna Google,5,2018-04-28 13:53:08,Bacod
Pengguna Google,4,2018-04-27 09:09:42,Kok lama banget sih inginstalnya padahal baru beli paket
Pengguna Google,5,2018-04-22 05:30:16,"Aplikasi ini bagus karena saya sering memainkannya ...kalo lagi gk ada 
paket tetep bisa bukaknya tpi cman video privat aja yang bisa di ambil lagu 
nya pokoknya aplikasi ini bagus deh saya senang dengan aplikasi ini sekian 
itu ajah terima kasih"
Pengguna Google,5,2018-04-19 22:21:06,Suka amat aku walau pake paketan 3GB
Pengguna Google,1,2018-04-19 08:23:32,"Apaan sih barang ini dipamerin,buat akun nya susah banget sih,aku benar2 
benci Musically"
Pengguna Google,5,2018-04-13 09:21:38,Musicaly meskipun g punya paketan bisa Main
Pengguna Google,1,2018-04-13 07:23:21,Gak jelas masa pas aku pengen daftar nama aku dibilang salah mulu bikin kesel orang jangan download aplikasi ini cuma buang paketan kamu
Pengguna Google,1,2018-04-10 07:19:34,"Ga bagus lagi..Jdi sama kea tiktok. Apl sampah . Ngabisin paket buat download-,"
Pengguna Google,5,2018-04-09 14:08:38,"Kalo emng pada gk suka sama yg versi skrang tolong jangan salahkan app ini,kalo kalian mau kyk dlu,tinggal download versi yg kalian mau sprti dlu,Apa salahnya,jangan salahkan app ini dengan smbarangan,emng sih iya,versi skrang gk mnentu,bagusan dlu,pndapat ku,tapi kyknya versi skrang lbh cocok dengan ios/iphone dah gtu aja pendapat saya:)"
Pengguna Google,5,2018-04-08 12:33:52,hp jelek kok di pelihara pakai oppo F1 fluss terus pakai paket telkomsel on 24 jm gak rewel kalian ne aku no lelet
Pengguna Google,1,2018-04-02 09:12:39,Aplikasi nya Lola (loading lambat)terus ngehabis - habiskan paketan andaikan kalau gk kayak gitu pasti musiccaly ku enggak aku hapus 😭😢
Pengguna Google,3,2018-03-29 08:39:04,Sumvah nyedot paket sama memorynya banyak jasa
Pengguna Google,5,2018-03-29 08:37:16,Bagus sekali.. aku jadi banyak fans nyaa di instagram juga lebih banyak😍 thanks for musical.ly ( ini tanpa paketan bisa lo guys tpi di privat yaa! bisa di simpan lo )
Pengguna Google,3,2018-03-28 10:23:05,"Aku suka, tapi semenjak diperbarui, pas disimpan privat jadi ga bisa main musically... tolong dimaklum yg main ini yg pakai kuota.. bisa saja kan kalo kuota nya habis, bukan apa"" saya memakai wifi, tapi tetap saja pas saya pergi"" wifi yg diisi paket-an nya suka habis, tapi kalau musically diprivat saya bisa main sepuasnya.. Saya mohon untuk pihak musically, jangan mengecewakan pengguna dan tolong untuk yg simpan privat kembalikan seperti semula. Saya Mohon :) Trima Kasih"
Pengguna Google,1,2018-03-23 07:15:45,Gak bisa di dowload padahal paket baru beli yang dowload nyesel
Pengguna Google,1,2018-03-23 06:04:03,Ngabisin paket doang
Pengguna Google,5,2018-03-16 17:17:13,Knp tanggapan kalian ada yg jelek kalo ada yg loading nya lma paketan lu kali sekarat makanya bawa ke rmh sakit
Pengguna Google,5,2018-03-15 09:20:47,Mainnya enak dan kenapa aplikasi ini banyak sekali keluar paketnya
Pengguna Google,5,2018-03-11 11:05:41,Kenapa kalo misalnya aku mau bikin video jadi lemot??  aku bingungnya kalo dulu bisa pas masih pengang hp ip tapi semenjak aku paket android jadi gak bisa kayak lemot
Pengguna Google,1,2018-03-09 09:09:30,"Susah banget,aku mau masuk dari fb,instagram,gmail,sama nomor telepon ga bisa2 trus tgl ultah tetep gx bisa sayang paketan aku abis gara2 mau masuk ke akun musically"
Pengguna Google,5,2018-03-05 04:38:51,Aplikasi ini sangat sangat bagus paket banget
Pengguna Google,5,2018-03-04 08:41:56,Suka banget tapi cepet abis paketnya😀
Pengguna Google,5,2018-02-28 09:26:03,Males pake paket tapi sru
Pengguna Google,1,2018-02-27 17:58:24,Tolong ya yg buat musically udah 1tahun saia mainkan nih musically tapi akhir2 ini  macet2 dan kalo saya coba pakek hp iphone tapi gk macet2 jadi tolong jangan pernah beda2in hp nanti saya pindah ke tik tok aja soalnya tik tok lebih bagus dari pada musically lama2 barangnya gk bagus karena udah terkenal jadi musically nya gk bagus
Pengguna Google,1,2018-02-21 14:51:18,Waktu mendonlot lama sekali. Jadinya paketannya abis deh.hemmmm
Pengguna Google,1,2018-02-21 11:16:36,Uh...... Dah di download tiba buat bio dat gk bisa bisa apaan sihhh padahal dah benar semua bikin habis paket aja
Pengguna Google,5,2018-02-20 11:42:20,Walaupun gk punya paket tetep bisa
Pengguna Google,3,2018-02-15 23:42:26,Musical.ly apa ini gak bisa daftar terus gitu pas udah bisa mau buat video nya susah banget juga ihhhhhh pokoknya yang download nyesel deh ngabis ngabisin paket an aja masih enak tik tok mending download tik tok aja
Pengguna Google,5,2018-02-10 18:03:40,Pakai paketan apa enggak?
Pengguna Google,5,2018-02-10 12:48:01,Bagus bgt sih tapi pake  paketan.
Pengguna Google,5,2018-02-10 06:06:45,Aku suka sekali game ini walau pun pake paketan
Pengguna Google,1,2018-02-09 09:41:08,Apaan aq download lemottttt nya minta ampun malahan aq baru beli paketan
Pengguna Google,4,2018-02-08 12:23:42,Bagus tidak habisin paket ayo buruan main musical.ly
Pengguna Google,5,2018-02-05 16:29:24,"Gak mungkin macet macet,nntik paketny mau habis?? Saya aja nyobak nya aja gak macet-macet,gak mungkin aplikasi musically ini jelek,kalian aja yg gak pande makek aplikasi ni Menurut saya,aplikasi ini bagus skli,very good very very very very good......!!!"
Pengguna Google,5,2018-02-04 03:12:08,pake paket ga sih
Pengguna Google,5,2018-02-02 22:45:50,Thanks. Seru kalau lagi bete GK ada paketan main ini 🎉🎉😘
Pengguna Google,1,2018-01-22 11:34:44,Apaan si musical masuk nya aja gak jelas jadi kesal habisin paket aja kalau kayak gini😡😡😡😡😡😡😡😡😡😡😡😡😡😁😁😁😁😾😾😾
Pengguna Google,3,2018-01-21 06:22:11,Bnyk makan paket
Pengguna Google,5,2018-01-20 05:16:24,"Tang ngomong musically itu jelek boong,  aku aja hp android kgk macet.  Hp kalian aja kali yang eror atau paket datanya abis"
Pengguna Google,3,2018-01-20 03:17:34,Karena pake paket jadi lumayan
Pengguna Google,5,2018-01-19 06:48:38,bagus banget tapi sekarang sama ibu aku aplikasi nya dihapus karena ngehabisin paketan😭😭😭😭😭😭😭😭😭😭
Pengguna Google,5,2018-01-16 10:15:16,Suka banget tapi nguras paket banget 😂 Pokoknya Top dehh 👍 I Like This😉
